category,attribute,detail,trait_type,mentee_rating,mentor_rating,engineer_rating
Engineering Ability,Design,Best Practices around Architecture and Pattern choices,HARD,Unpracticed,Unpracticed,Unpracticed
Engineering Ability,Design,Creates Data Flows as a part of engineering efforts,HARD,Unpracticed,Unpracticed,Unpracticed
Engineering Ability,Design,"Creating shared components (APIs, Libraries, etc.) when appropriate, that are leveraged across multiple work streams.",HARD,Unpracticed,Unpracticed,Unpracticed
Engineering Ability,Design,"Can identify, communicate, and�audit�the key risks in design and architecture (the key things you need to pay attention to)�for solutions they aren�t involved in�delivering the details.��",HARD,Unpracticed,Unpracticed,Unpracticed
Engineering Ability,Design,"Consider usability of the product, and collaborates with appropriate disciplines",HARD,Unpracticed,Unpracticed,Emerging
Engineering Ability,Maintainability,Fluency in a test framework and test pyramid,HARD,Unpracticed,Unpracticed,Emerging
Engineering Ability,Maintainability,"Happy Path Testing, Exception Handling, Downstream Impact (Not necessarily unit testing)",HARD,Unpracticed,Unpracticed,Practicing
Engineering Ability,Maintainability,"Understands the Audience of their Code is other engineers not the computer, and how you code reflects that understanding",HARD,Unpracticed,Unpracticed,Emerging
Engineering Ability,Maintainability,"Consider unit tests for all code, implement and maintains appropriately",HARD,Unpracticed,Unpracticed,Emerging
Engineering Ability,Maintainability,Consider integration points and avoids fragility,HARD,Unpracticed,Unpracticed,Emerging
Engineering Ability,Maintainability,Consider SEO impact,HARD,Unpracticed,Unpracticed,Emerging
Engineering Ability,Mentoring,Mentoring other Engineers in areas you are Strong in,HARD,Unpracticed,Unpracticed,Emerging
Engineering Ability,Mentoring,Speaking the Language of Engineering,HARD,Unpracticed,Unpracticed,Unpracticed
Engineering Ability,Mentoring,Finding Technology Industry trends and bring the knowledge back into the team,HARD,Unpracticed,Unpracticed,Emerging
Engineering Ability,Mentoring,"Engineering is a Craft to hone, not a skill to use. (You have seen someone do something better than you and you want to grow yourself the same way.  Pursuing excellence and Expertise.",HARD,Unpracticed,Unpracticed,Unpracticed
Engineering Ability,Mentoring,Growth Mindset: Share new craft growth with engineers around you,HARD,Unpracticed,Unpracticed,Unpracticed
Engineering Ability,Monitoring,Creates actionable alerts easily consumed by others,HARD,Unpracticed,Unpracticed,Emerging
Engineering Ability,Monitoring,Owns alerts and response (Can diagnose an application issue without reaching out to Systems Engineering),HARD,Unpracticed,Unpracticed,Emerging
Engineering Ability,Monitoring,Log appropriate code diagnostic information,HARD,Unpracticed,Unpracticed,Emerging
Higher Level Thinking,Business Accumen,Is able to relate work being executed on to a business problem ,HARD,Unpracticed,Unpracticed,Practicing
Higher Level Thinking,Business Accumen,Can break down work using business context even when ambiguous.,HARD,Unpracticed,Unpracticed,Unpracticed
Higher Level Thinking,Business Accumen,Actively leading initiatives for your team,HARD,Unpracticed,Unpracticed,Unpracticed
Higher Level Thinking,Business Accumen,"Sitting with other matrixed teams (Customer Success, Sales, Relationships Management)",HARD,Unpracticed,Unpracticed,Unpracticed
Higher Level Thinking,Business Accumen,"Measuring the impact of your code quality on customer rating, crash rates, bug rates, customer success issue counts, time to market",HARD,Unpracticed,Unpracticed,Unpracticed
Higher Level Thinking,Business Accumen,Technical writing can be written with both technical and business stakeholders in mind,HARD,Unpracticed,Unpracticed,Unpracticed
Higher Level Thinking,Business Accumen,Creates monitoring dashboards to track the health of the code deployed,HARD,Unpracticed,Unpracticed,Unpracticed
Higher Level Thinking,Business Accumen,Has enough business acumen to sit in business strategy meetings.��,HARD,Unpracticed,Unpracticed,Unpracticed
Higher Level Thinking,Workflow Management,Removes own blockers due to lack of understanding of the work or language,HARD,Unpracticed,Unpracticed,Emerging
Higher Level Thinking,Workflow Management,Pull cards and work them with self-sufficiency,HARD,Emerging,Unpracticed,Practicing
Higher Level Thinking,Workflow Management,Is not consistently blocked,HARD,Emerging,Unpracticed,Practicing
Higher Level Thinking,Workflow Management,Reactive Tech Debt Management,HARD,Unpracticed,Unpracticed,Emerging
Higher Level Thinking,Workflow Management,Proactive Tech Debt Management,HARD,Unpracticed,Unpracticed,Unpracticed
Higher Level Thinking,Workflow Management,"Connected to the flow of work of the team (Metrics, Decomposition, Engaged in Rhythms)",HARD,Unpracticed,Unpracticed,Unpracticed
Higher Level Thinking,Workflow Management,"Understands that tickets don't stop when the merge button is pressed, but considers up and downstream systems affected by the code created. ",HARD,Unpracticed,Unpracticed,Unpracticed
Higher Level Thinking,Workflow Management,Successful creating work that spans multiple workstreams.  Beginning to blend and coordinate activities while creating the work,HARD,Unpracticed,Unpracticed,Unpracticed
